11,中国矿业大学（北京）,A01,15,复动力系统 ( A010502 ) ,复动力系统,140万元,2007年01月01日 至 2010年12月31日,乔建永,http://fund.sciencenet.cn/index.php/item/view/237794
14,中国矿业大学（北京）,E01,11,金属材料 ( E01 ) ,第15届国际材料磨损会议,1万元,2005年01月01日 至 2005年12月31日,陈华辉,http://fund.sciencenet.cn/index.php/item/view/147778
44,中国矿业大学（北京）,E01,12,金属材料的磨蚀 ( E011202 ) ,摩擦磨损过程中微-纳米复合涂层的析出强化研究,9.6万元,2007年01月01日 至 2009年12月31日,陈华辉,http://fund.sciencenet.cn/index.php/item/view/172388
45,中国矿业大学（北京）,D02,11,地质学 ( D02 ) ,IGCP447年会－澳大利亚中部新元古代碳酸盐岩,0.9万元,2005年01月01日 至 2005年12月31日,邵龙义,http://fund.sciencenet.cn/index.php/item/view/147769
46,中国矿业大学（北京）,A02,11,力学 ( A02 ) ,国际防卫与安全大会第27届热感应分会,1.2万元,2005年01月01日 至 2005年12月31日,吴立新,http://fund.sciencenet.cn/index.php/item/view/147767
47,中国矿业大学（北京）,D02,11,水文地质学 ( D0213 ) ,动态应力场与渗透性耦合环境下煤层底板断裂滞后突水机理及应用研究,39万元,2006年01月01日 至 2008年12月31日,武强,http://fund.sciencenet.cn/index.php/item/view/147766
48,中国矿业大学（北京）,D02,11,煤地质学 ( D0208 ) ,第23届国际有机岩石学会年会,4万元,2006年01月01日 至 2006年12月31日,代世峰,http://fund.sciencenet.cn/index.php/item/view/113563
71,中国矿业大学（北京）,A02,15,岩体力学和土力学 ( A020311 ) ,构筑物与岩体相互作用的两体力学模型研究,34万元,2006年01月01日 至 2008年12月31日,陈忠辉,http://fund.sciencenet.cn/index.php/item/view/237139
73,中国矿业大学（北京）,A02,15,岩体力学和土力学 ( A020311 ) ,煤层突出过程中的非稳定态动力学机理研究,31万元,2006年01月01日 至 2008年12月31日,姜耀东,http://fund.sciencenet.cn/index.php/item/view/237138
74,中国矿业大学（北京）,A02,15,疲劳与可靠性 ( A020303 ) ,双相钛合金疲劳性态的氢效应研究,35万元,2006年01月01日 至 2008年12月31日,冯吉利,http://fund.sciencenet.cn/index.php/item/view/237010
75,中国矿业大学（北京）,A04,15,光与物质的相互作用 ( A040405 ) ,平板靶等离子体X射线激光的二维流体动力学研究,22万元,2005年01月01日 至 2007年12月31日,李英骏,http://fund.sciencenet.cn/index.php/item/view/236286
76,中国矿业大学（北京）,A02,15,多相流与渗流 ( A020405 ) ,孔隙介质中流体渗流形貌演化规律研究,30万元,2004年01月01日 至 2006年12月31日,周宏伟,http://fund.sciencenet.cn/index.php/item/view/235244
77,中国矿业大学（北京）,A02,15,损伤与断裂力学 ( A020302 ) ,有体力矩存在的非对称力学问题理论和实验研究,22万元,2004年01月01日 至 2006年12月31日,宋彦琦,http://fund.sciencenet.cn/index.php/item/view/234838
86,中国矿业大学（北京）,A02,16,爆炸力学 ( A020601 ) ,瓦斯煤尘爆炸火焰传播规律与阻隔爆技术的应用基础研究,35万元,2007年01月01日 至 2009年12月31日,何学秋,http://fund.sciencenet.cn/index.php/item/view/238390
91,中国矿业大学（北京）,A01,16,可积系统及其应用 ( A010902 ) ,可积系统的超对称化及其解的构造,18万元,2007年01月01日 至 2009年12月31日,刘青平,http://fund.sciencenet.cn/index.php/item/view/238210
101,中国矿业大学（北京）,E09,1,灌溉与排水 ( E090202 ) ,再生水灌溉时期对作物品质的影响及其机理研究,10万元,2007年01月01日 至 2007年12月31日,黄占斌,http://fund.sciencenet.cn/index.php/item/view/302163
102,中国矿业大学（北京）,E04,1,交叉学科与新技术 ( E042203 ) ,暗挖地铁隧道诱发复杂岩土层环境损伤机理与预控研究,25万元,2004年01月01日 至 2006年12月31日,刘波,http://fund.sciencenet.cn/index.php/item/view/296841
104,中国矿业大学（北京）,D05,1,大气环境与全球气候变化 ( D0512 ) ,中国典型污染城市可吸入颗粒物的物理化学特征及生物活性研究,40万元,2006年01月01日 至 2008年12月31日,邵龙义,http://fund.sciencenet.cn/index.php/item/view/289331
107,中国矿业大学（北京）,D05,1,大气科学 ( D05 ) ,2003-2008年北京市大气可吸入颗粒物组成特征变化评价,2.7万元,2005年01月01日 至 2005年12月31日,邵龙义,http://fund.sciencenet.cn/index.php/item/view/147770
108,中国矿业大学（北京）,D05,1,大气化学 ( D0510 ) ,2003—2008年北京市大气可吸入颗粒物组成特征变化评价,7万元,2006年01月01日 至 2006年12月31日,邵龙义,http://fund.sciencenet.cn/index.php/item/view/113564
5,中国矿业大学（北京）,E04,21,矿冶系统工程与信息工程 ( E042205 ) ,矿业数据仓库集成关键技术研究,8万元,2005年01月01日 至 2005年12月31日,侯运炳,http://fund.sciencenet.cn/index.php/item/view/298485
7,中国矿业大学（北京）,E04,22,安全检测与监控 ( E041004 ) ,煤矿井下电磁兼容性基础研究,30万元,2007年01月01日 至 2009年12月31日,孙继平,http://fund.sciencenet.cn/index.php/item/view/301481
8,中国矿业大学（北京）,D02,18,煤地质学 ( D0208 ) ,煤层自燃动力学过程的地质控制因素研究,36万元,2006年01月01日 至 2008年12月31日,曹代勇,http://fund.sciencenet.cn/index.php/item/view/289077
20,中国矿业大学（北京）,E04,26,矿物加工工程 ( E041102 ) ,西北高惰质组分煤热解制备富氢燃料气和热解油的研究,30万元,2007年01月01日 至 2009年12月31日,舒新前,http://fund.sciencenet.cn/index.php/item/view/325570
37,中国矿业大学（北京）,G01,25,工业工程与管理 ( G0110 ) ,基于工业工程的煤矿安全事故机理与预防研究,17万元,2006年01月01日 至 2008年12月31日,荆全忠,http://fund.sciencenet.cn/index.php/item/view/321266
38,中国矿业大学（北京）,G03,25,区域发展管理 ( G0313 ) ,基于城市群产业集群与耦合的矿业城市产业转型研究,12万元,2005年01月01日 至 2007年12月31日,刘海滨,http://fund.sciencenet.cn/index.php/item/view/320721
